Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
04_085,"Mint, leaves, raw",0.03388876091880672,0.010431893968587878,0.0025047845378789275,0.03241629064572214,0.02756641286190084,0.0496076615384887,0.03937348087658329,0.009920768727698622,0.039006680657116946,0.011379635581677526,0.0024187538614752614,0.006574152163055567,0.0,0.02376258532363682,0.0,0.013354509257480838,-0.005581014306111916
04_011,"Moringa (drumstick), leaves, fresh, raw",0.0983600621789756,0.005920804684874201,0.003458988171356614,0.045053149711003646,0.011026565144760336,0.05941382719144578,0.024339969996433307,0.013889076218778072,0.029309286950152804,0.020338072103423664,0.0012805167501927855,0.02807710819638315,0.0,0.30891360920727867,0.0,0.021367214811969338,-0.005736042481281689
04_101,"Moringa (drumstick), leaves, fresh, boiled* (as part of a recipe)",0.10464188127612026,0.006202747765106305,0.003697539079726036,0.04780029298606484,0.008269923858570253,0.06287482683366592,0.026129673672641636,0.015720602753122433,0.03097376497448247,0.02154867163338936,0.0014227963891030948,0.02687869504165948,0.0,0.19708967827251717,0.0,0.022791695799433964,-0.006046098831621241
04_033,"Moringa (drumstick), leaves, fresh, boiled* (without salt), drained",0.0953844636592755,0.005638861604642096,0.0035186258984489694,0.04615200702102813,0.005513282572380168,0.04556982862256521,0.015033510880149982,0.013583821796387344,0.014835564999460062,0.020580192009416805,0.0009959574723721663,0.025851483766182046,0.0,0.1258019223016067,0.0,0.016381531355843162,-0.005891070656451467
04_074,"Native eggplant, fruit, raw",0.001983732346466735,0.0036652600430173623,0.0011927545418471085,0.021977146200489586,0.009096916244427277,0.006345166010736928,0.00859057764579999,0.00442618912466554,0.017296097731077827,0.003147558777910805,0.000569118555641238,0.00018832206717086259,0.0,0.0027955982733690377,0.0,0.0040953828389607904,-0.00015502817516977542
04_104,"Native eggplant, fruit, boiled* (as part of a recipe)",0.0024796654330834188,0.004511089283713677,0.0014909431773088855,0.02747143275061198,0.007994259729951244,0.008075665831846999,0.010738222057249988,0.005494579603033083,0.02163821431628565,0.004116038401883361,0.000569118555641238,0.00020544225509548647,0.0,0.0027955982733690377,0.0,0.005163743579559257,-0.000310056350339551
04_103,"Native eggplant, fruit, boiled* (without salt), drained",0.001983732346466735,0.0036652600430173623,0.0013120299960318192,0.023625432165526303,0.004961954315142151,0.005191499463330213,0.00572705176386666,0.004273561913470176,0.009263182048443355,0.003389678683903944,0.00042683891673092844,0.00018832206717086259,0.0,0.0013977991366845189,0.0,0.0033831423452284786,-0.0001550281751697748
04_004,"Okra, leaves, fresh, raw",0.05008924174828505,0.0002819430802321048,0.001550580904401241,0.026922004095599743,0.01571285533128348,0.003460999642220142,0.02111850337925831,0.01068390478367544,0.021493477096778724,0.0060529976498284715,0.0008536778334618569,0.0011470525909497995,0.0,0.08945914474780921,0.0,0.008190765677921581,0.00031005635033954976
04_110,"Okra, leaves, fresh, boiled* (as part of a recipe)",0.05323015129685738,0.0002819430802321048,0.001669856358585952,0.028570290060636463,0.011577893401998354,0.004037832915923499,0.022192325584983307,0.011294413628456894,0.022868480682094534,0.00629511755582161,0.0008536778334618569,0.0010956920271759278,0.0,0.057309764604065276,0.0,0.008724946048220814,0.000310056350339551
04_041,"Okra, leaves, fresh, boiled* (without salt), drained",0.04843613145956278,0.0002819430802321048,0.001550580904401241,0.02747143275061198,0.007994259729951244,0.002884166368516785,0.012885866468699986,0.00976814151650326,0.01092766007277302,0.0060529976498284715,0.000569118555641238,0.0010443314634020562,0.0,0.036342777553797494,0.0,0.006232104320157724,0.000310056350339551
04_077,"Okra, fruit, dried",0.12910791354921,0.025374877220889432,0.004890293621573144,0.24889118072054453,0.1571285533128348,0.03691732951701485,0.19615152291243312,0.06639283686998308,0.18309258267626322,0.030991347967121777,0.010955532196093831,0.0004280046981155968,0.0,0.022364786186952302,0.0,0.0826198972729481,-0.036431621164897225
04_017,"Okra, fruit, fresh, raw",0.014382059511883828,0.002537487722088943,0.0006560149980159096,0.022526574855501823,0.024258443318472742,0.004614666189626857,0.0275614366136083,0.008241869404549625,0.02764480892582314,0.004116038401883361,0.0015650760280134044,0.0007361680807588265,0.0,0.03913837582716653,0.0,0.009793306788819282,0.0001550281751697762
04_111,"Okra, fruit, fresh, boiled* (as part of a recipe)",0.014382059511883828,0.002537487722088943,0.0006560149980159096,0.022526574855501823,0.017091175974378522,0.004614666189626857,0.0275614366136083,0.008241869404549625,0.02764480892582314,0.004116038401883361,0.0015650760280134044,0.000667687329060331,0.0,0.030751581007059416,0.0,0.009793306788819282,0.0001550281751697762
