PMID,title,year,journal,flag_protein,flag_net_carbs,flag_fiber,flag_calcium,flag_iron,flag_magnesium,flag_phosphorus,flag_potassium,flag_sodium,flag_zinc,flag_copper,flag_vitamin_a,flag_vitamin_c,flag_vitamin_d,flag_vitamin_b12,flag_vitamin_b6,flag_thiamine,flag_riboflavin,flag_niacin,flag_folate,flag_saturated_fat,flag_monounsaturated_fat,flag_polyunsaturated_fat,flag_linoleic_acid,flag_alpha_linolenic_acid
40890373,BamClassifier: a machine learning method for assessing iron deficiency.,2025,Scientific reports,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40866872,Factors associated with inequalities in malnutrition among children in Ghana using the 2022 GDHS and WHO HEAT framework.,2025,BMC public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40813685,Dental caries prevention profile of children with and without sickle cell anaemia in a suburban community in Nigeria.,2025,BMC research notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40803493,Heme iron compared with ferrous iron salts to treat iron deficiency anemia in Gambian children: a randomized controlled trial.,2025,The American journal of clinical nutrition,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40798923,Liver function tests among children with moderate acute malnutrition: A secondary analysis of a randomized trial from Burkina Faso.,2025,Journal of pediatric gastroenterology and nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40792539,Socioeconomic Risk Factors Associated With Acute Malnutrition Severity Among Under-Five Children Based on a Machine Learning Approach: The Case of Rural Emergency Contexts in Niger and Mali.,2025,Maternal & child nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40780831,Adherence to ready-to-use therapeutic food in older children with sickle cell anaemia and severe acute malnutrition: a mixed-methods study in a low-income setting.,2025,BMJ global health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40771242,Determinants associated with anemia level among children under 5 years in Gambia: a structural equation modelling approach.,2025,Frontiers in public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40750762,Acquisition of Escherichia coli carrying extended-spectrum ß-lactamase and carbapenemase genes by hospitalised children with severe acute malnutrition in Niger.,2025,Nature communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40720446,"Protocol for the Redefining Maternal Anemia in Pregnancy and Postpartum (ReMAPP) study: A multisite, international, population-based cohort study to establish global hemoglobin thresholds for maternal anemia.",2025,PloS one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40676606,Pooled prevalence of anaemia and its associated factors among adolescent girls in East and West Africa: a systematic review and meta-analysis.,2025,BMC public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40657454,"Vitamin D Status and Oxidative Stress in Children with Sickle Cell Anaemia in Sagamu, Nigeria.",2025,Sultan Qaboos University medical journal,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40630154,"Diagnostic criteria for severe acute malnutrition and fatal outcomes in children aged 6-59 months, Nigeria.",2025,Bulletin of the World Health Organization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40610045,"Malaria and helminths co-infection-Effects on anaemia, iron and folate deficiencies in paediatric population in Ghana.",2025,Tropical medicine & international health : TM & IH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40595893,Prevalence and clinical impact of severe anaemia in referral hospitals in southern Benin.,2025,Scientific reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40592757,Azithromycin as adjunctive treatment for uncomplicated severe acute malnutrition (AMOUR): study protocol for a double-masked randomised controlled trial.,2025,BMJ open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40585515,Outcomes and factors associated with severe malaria-related anaemia in paediatric patients in northern Nigeria.,2024,Ghana medical journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
