Code,Food name in English,topsis_score,distance_to_ideal,distance_to_worst,rank
04_054,"Pumpkin, leaves, fresh, boiled* (without salt), drained",0.0672799228252686,0.19244982819495357,0.013881988718322674,511.0
04_076,"Maize, seeds, fresh, raw",0.06721622126245529,0.19264059100931807,0.01388164426158593,512.0
02_001,"Cassava, tuber, white flesh, raw",0.06720706951544543,0.19274932179559207,0.013887452022435557,513.0
03_131,"Pigeon pea, cream, soaked, boiled in different water* (without salt), with cooking liquid",0.06719471744243802,0.19265789776283707,0.013878130029167258,514.0
03_129,"Pigeon pea, cream, not soaked, boiled* (without salt), with cooking liquid",0.06719471744243802,0.19265789776283707,0.013878130029167258,514.0
03_095,"Cowpea, brown, not soaked, boiled* (without salt), with cooking liquid",0.0669914653776541,0.19268600049835022,0.013835154826712034,516.0
03_097,"Cowpea, brown, soaked, boiled in different water* (without salt), with cooking liquid",0.0669914653776541,0.19268600049835022,0.013835154826712034,516.0
03_103,"Cowpea, dehulled, soaked, boiled in different water* (without salt), drained",0.06694328458584617,0.19311235787884193,0.013855080100665641,518.0
03_101,"Cowpea, dehulled, not soaked, boiled* (without salt), drained",0.06694328458584617,0.19311235787884193,0.013855080100665641,518.0
03_100,"Cowpea, white, soaked, boiled in different water* (without salt), with cooking liquid",0.06694055435485248,0.19269332326994945,0.013824411660342206,520.0
03_098,"Cowpea, white, not soaked, boiled* (without salt), with cooking liquid",0.06694055435485248,0.19269332326994945,0.013824411660342206,520.0
14_014,"Bite zindo (Burkina Faso)*: hibiscus leaf sauce with fish, fermented African locust beans and tomatoes",0.06692573132341238,0.19050872951029668,0.01366443859185448,522.0
01_048,"Bread, wheat, wholemeal, unfortified",0.06691510145061164,0.19053787196062022,0.013664202531034425,523.0
03_011,"African yam bean, not soaked, boiled* (without salt), drained",0.06685133570841122,0.19312625964908497,0.013835682257244747,524.0
03_123,"Pigeon pea, soaked, boiled in different water* (without salt), with cooking liquid",0.06682338536593252,0.19292174302726578,0.013814838239204787,525.0
03_121,"Pigeon pea, not soaked, boiled* (without salt), with cooking liquid",0.06682338536593252,0.19292174302726578,0.013814838239204787,525.0
02_019,"Yam, tuber, pale, raw",0.0668125176089917,0.19253937365026144,0.013785054488163672,527.0
07_022,"Beef tripe, boiled* (without salt), drained",0.06679068900354983,0.19579143812214714,0.014012981759912856,528.0
02_077,"Yam, tuber, pale, boiled* (as part of a recipe)",0.06678718154724385,0.19254430275380155,0.013779805688081256,529.0
09_048,"Atlantic cod (Northeast Atlantic), fillet, raw",0.06678480385697243,0.1960723412049255,0.014031761273571669,530.0
07_092,"Beef tripe, stewed* (as part of a recipe)",0.06674197507009208,0.19549406512916762,0.013980763810931928,531.0
02_039,"Cassava, grated, from fermented white cassava, toasted without oil (white gari)",0.06665536739503564,0.192568898001408,0.013752423485113338,532.0
02_015,"Taro, tuber, white, raw",0.06664140525713066,0.1925454584979005,0.01374766354802097,533.0
02_074,"Taro, tuber, white, boiled* (as part of a recipe)",0.06662906967768477,0.19255973023876471,0.013745955939258045,534.0
07_071,"Pork meat, lean, ca. 10% fat, raw",0.06658410629978148,0.1963709576453994,0.01400788738042473,535.0
07_133,"Beef tripe, grilled* (without salt or fat)",0.06656720892061778,0.19578805688637643,0.01396250979338998,536.0
03_062,"African yam bean, soaked, boiled in different water* (without salt), with cooking liquid",0.06648022402571924,0.193177291157888,0.013757040743410888,537.0
03_125,"Pigeon pea, white, not soaked, boiled* (without salt), with cooking liquid",0.06643327670983888,0.1929953399149784,0.01373368662402097,538.0
03_127,"Pigeon pea, white, soaked, boiled in different water* (without salt), with cooking liquid",0.06643327670983888,0.1929953399149784,0.01373368662402097,538.0
03_091,"Cowpea, soaked, boiled in different water* (without salt), with cooking liquid",0.06641608079261448,0.19298073526499027,0.013728839840835536,540.0
03_089,"Cowpea, not soaked, boiled* (without salt), with cooking liquid",0.06641608079261448,0.19298073526499027,0.013728839840835536,540.0
08_004,"Omelette, from chicken egg",0.06635837534806004,0.19247681891461824,0.013680248028892634,542.0
04_050,"Pepper, sweet, green, fresh, boiled* (without salt), drained",0.06624679806156576,0.19470443797410333,0.013813656068203265,543.0
02_020,"Yam, tuber, pale, boiled* (without salt), drained",0.0662421785135249,0.19284335108545805,0.01368059618222357,544.0
05_056,Sweet baobab paste (Burkina Faso)*,0.06613340895211325,0.19314872618040776,0.013678167545040327,545.0
02_016,"Taro, tuber, white, boiled* (without salt), drained",0.06612044995428176,0.19285243157374252,0.013654319285403496,546.0
01_092,"Maize, white, refined flour (special), fortified with vitamin A (Nigeria)",0.0661087036557688,0.19321561654580133,0.013677431180582327,547.0
01_060,"Maize, white, grit, degermed, raw",0.06608793259273449,0.19327682991825268,0.013677161430022145,548.0
02_048,"Plantain, unripe, pale flesh, flour",0.0660176400682093,0.19248640313800816,0.013605715295647866,549.0
01_055,"Maize, yellow, grit, degermed, raw",0.06600598919912477,0.19328187504364905,0.013659360990525237,550.0
02_051,"Cassava, tuber, white flesh, boiled* (as part of a recipe)",0.06590423306205516,0.1933623744012277,0.01364249731025434,551.0
04_104,"Native eggplant, fruit, boiled* (as part of a recipe)",0.06583390276306672,0.19316127475311387,0.013612740408048872,552.0
04_012,"Eggplant, fruit, raw",0.06581805026967312,0.19317097610823908,0.013609915091812825,553.0
04_128,"Vernonia, leaves, sweet, fresh, boiled* (as part of a recipe)",0.06580342973666767,0.192944121648332,0.013590699598062325,554.0
01_058,"Maize, white, refined flour (special), unfortified",0.0656667675091726,0.19349855605224908,0.013599457079964652,555.0
05_008,"Dattock, fruit, dried",0.06561532457225445,0.1931243338211086,0.01356177619316313,556.0
02_002,"Cassava, tuber, white flesh, dried",0.06555973183069715,0.1931219608470063,0.013549313310900885,557.0
03_094,"Cowpea, black, soaked, boiled in different water* (without salt), with cooking liquid",0.06552199897538005,0.1935486790557341,0.013570888064642477,558.0
