Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
09_073,"Mahi mahi, fillet, steamed* (without salt)",2.9932861194971232e-05,5.801297947162567e-06,2.6996501975963296e-05,0.0,0.00020419565082889482,0.001459886680360348,9.721847130020541e-05,0.00016581721710113317,0.00011823184391820856,0.008481171357257605,0.00012998386764645527,6.481717238952243e-06,3.6875051623526344e-05,0.0,6.232430647283579e-05,0.0004726287226927367,0.0
09_051,"Mola carplet, small whole fish, viscera, fins and scales removed, raw",0.00306675768788478,5.801297947162567e-06,7.264513258986486e-05,0.0,6.806521694296494e-05,0.01664270815610797,0.00012373259983662507,0.0004396668635257319,3.1270386930508566e-05,0.005101456455493296,0.0001229577126385388,0.0005379825308330362,0.00044504372649083526,0.0,0.0006731025099066265,0.00406680528828634,0.0
09_078,"Mola carplet, small whole fish, viscera, fins and scales removed, boiled* (as part of a recipe)",0.003692626603779633,6.961557536595079e-06,8.737049730402665e-05,0.0,6.806521694296494e-05,0.020146436188972803,0.00015024672837304472,0.0005294845227888457,3.782227752547226e-05,0.006153631849438788,0.00014754925516624652,0.0005817341221959638,0.0004768325640973235,0.0,0.0007354268163794623,0.004902149077231641,0.0
09_077,"Mola carplet, small whole fish, viscera, fins and scales removed, grilled* (without salt or fat)",0.004443669302853457,6.961557536595079e-06,0.00010504093496102082,0.0,8.508152117870617e-05,0.020438413525044875,0.00016203078550034236,0.0005734512091414189,3.841790394319623e-05,0.0073971118604652785,0.0001510623326702048,0.0007000254618068422,0.0005721990769167882,0.0,0.0008850051519142681,0.005891371985193183,0.0
09_076,"Mola carplet, small whole fish, viscera, fins and scales removed, steamed* (without salt)",0.003692626603779633,5.801297947162567e-06,8.737049730402665e-05,0.0,6.806521694296494e-05,0.01605875348396383,0.00012667861411844948,0.00045034448735421393,2.8292254841888697e-05,0.006153631849438788,0.00012647079014249703,0.0005817341221959638,0.00042597042392694234,0.0,0.0007354268163794623,0.004902149077231641,0.0
09_026,"Mormyrid, fillet, raw",0.0003347038115437693,1.0442336304892618e-05,1.9142974128410335e-05,0.0,0.00018717934659315358,0.003503728032864835,8.83804284547322e-05,0.00016832959917842307,0.00010512806272828117,0.005802906718123623,0.00014403617766228828,2.7547298265547032e-05,0.00017165972307503646,0.0,0.00032408639365874613,0.0006374992073529936,0.0
09_079,"Mormyrid, fillet, boiled* (as part of a recipe)",0.00040273304153234024,1.2762855483757646e-05,2.3069738052186812e-05,0.0,0.00020419565082889482,0.004087682705008974,0.00010605651414567864,0.00020287485274115915,0.00012657061376634417,0.006982618523456448,0.00017214079769395428,3.078815688502316e-05,0.00019073302563892938,0.0,0.00036148097754244756,0.0007693955950811992,0.0
09_028,"Mormyrid, fillet, grilled* (without salt or fat)",0.00048436811751862547,1.5083374662622673e-05,2.7487347466435354e-05,0.0,0.00022121195506463604,0.004087682705008974,0.00011489455699115185,0.00021983343176286595,0.00012954874585496405,0.008385519048717104,0.00017565387519791255,3.72698741239754e-05,0.0002288796307667153,0.0,0.0004238052840152833,0.0009232747140974391,0.0
09_027,"Mormyrid, fillet, steamed* (without salt)",0.00040273304153234024,1.1602595894325134e-05,2.3069738052186812e-05,0.0,0.00017016304235741234,0.003211750696792766,9.132644273655659e-05,0.00017209817229435793,9.500241362697362e-05,0.006982618523456448,0.00014403617766228828,3.078815688502316e-05,0.0001653019555537388,0.0,0.00036148097754244756,0.0007693955950811992,0.0
09_052,"Mullet, fillet, raw",9.251975278445654e-05,2.3205191788650264e-06,1.5707055695105914e-05,0.0,0.00020419565082889482,0.003795705368936905,4.41902142273661e-05,0.00013943720528958927,9.857617213331746e-05,0.006536241083600785,0.00023186311526124457,2.9167727575285092e-05,1.3987088546854822e-05,0.0,3.7394583883701474e-05,0.000494611453980771,0.0
09_085,"Mullet, fillet, boiled* (as part of a recipe)",0.00011156793718125643,2.3205191788650264e-06,1.9142974128410335e-05,0.0,0.00020419565082889482,0.0046716373771531145,5.302825707283932e-05,0.00016770150365910062,0.00011882747033593253,0.007875373403167775,0.0002810462003166601,3.2408586194761215e-05,1.525864205111435e-05,0.0,3.7394583883701474e-05,0.0005935337447769253,0.0
09_084,"Mullet, fillet, grilled* (without salt or fat)",0.00013333729077759913,2.3205191788650264e-06,2.3069738052186812e-05,0.0,0.00023822825930037728,0.0046716373771531145,5.8920285636488134e-05,0.00018214770060351752,0.00012150778921569041,0.00946957854550943,0.00028455927782061833,3.889030343371346e-05,1.8437525811763172e-05,0.0,4.985944517826863e-05,0.0007144387668611136,0.0
09_083,"Mullet, fillet, steamed* (without salt)",0.00011156793718125643,2.3205191788650264e-06,1.9142974128410335e-05,0.0,0.00017016304235741234,0.003795705368936905,4.41902142273661e-05,0.00014257768288620165,8.90461494497339e-05,0.007875373403167775,0.00023888927026916108,3.2408586194761215e-05,1.3351311794725057e-05,0.0,3.7394583883701474e-05,0.0005935337447769253,0.0
09_060,"North African catfish, fillet, raw",6.25868915894853e-05,4.641038357730053e-06,5.6938076894758935e-05,0.0,0.00023822825930037728,0.001459886680360348,7.070434276378576e-05,0.00011305719347804535,8.964177586745788e-05,0.005675370306736292,0.00014403617766228828,1.4583863787642546e-05,0.00022252186324541763,0.0,0.00012464861294567158,0.0011760761239098334,0.0
09_082,"North African catfish, fillet, boiled* (as part of a recipe)",7.61927375871995e-05,5.801297947162567e-06,6.822752317561631e-05,0.0,0.00023822825930037728,0.0017518640164324176,8.543441417290778e-05,0.0001362967276929769,0.00010810619481690101,0.0068550821120691155,0.00017214079769395428,1.6204293097380607e-05,0.00024159516580931056,0.0,0.00013711347424023875,0.0014178861680782104,0.0
09_081,"North African catfish, fillet, grilled* (without salt or fat)",8.97985835849137e-05,6.961557536595079e-06,8.197119690883398e-05,0.0,0.00027226086777185977,0.0017518640164324176,9.132644273655659e-05,0.00014760244704078141,0.00011048870048779692,0.00822609853448294,0.0001791669527018708,1.944515171685673e-05,0.0002924573059796917,0.0,0.00016204319682937307,0.0017036616748226556,0.0
