Code,Food name in English,rank,topsis_score,nutrient,value_per_100g,rdi,percent_rdi
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Copper
(mg)",1.62,0.9,180.0
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",1.0,900.0,0.1111111111111111
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Vitamin C
(mg)",0.0,90.0,0.0
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Vitamin D 
(mcg)",0.0,20.0,0.0
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Vitamin B12
(mcg)",0.0,2.4,0.0
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Vitamin B6
(mg)",0.79,1.7,46.470588235294116
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Thiamine (vitamin B1)
(mg)",0.68,1.2,56.66666666666668
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Niacin, preformed
(mg)",3.4,16.0,21.25
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",100.0,400.0,25.0
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Protein, total
(g)",24.4,50.0,48.8
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Fibre, total dietary or [fibre, crude]
(g)",34.1,28.0,121.78571428571429
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Calcium
(mg)",1059.0,1300.0,81.46153846153847
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Iron
(mg)",35.0,18.0,194.44444444444443
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Magnesium
(mg)",380.0,420.0,90.47619047619048
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Phosphorus
(mg)",364.0,1250.0,29.12
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Potassium
(mg)",3300.0,4700.0,70.2127659574468
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Zinc
(mg)",3.91,11.0,35.54545454545455
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Copper
(mg)",1.88,0.9,208.88888888888886
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",300.0,900.0,33.33333333333333
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Vitamin C
(mg)",40.0,90.0,44.44444444444444
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Vitamin B6
(mg)",1.6,1.7,94.11764705882354
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Thiamine (vitamin B1)
(mg)",1.0,1.2,83.33333333333334
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Riboflavin (vitamin B2)
(mg)",2.4,1.3,184.6153846153846
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Niacin, preformed
(mg)",14.0,16.0,87.5
04_031,"Cowpea, leaves, dried",5.0,0.5134928781666108,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",640.0,400.0,160.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Protein, total
(g)",7.1,50.0,14.2
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Fibre, total dietary or [fibre, crude]
(g)",16.4,28.0,58.57142857142856
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Calcium
(mg)",40.0,1300.0,3.076923076923077
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Iron
(mg)",29.4,18.0,163.33333333333334
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Magnesium
(mg)",430.0,420.0,102.38095238095238
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Phosphorus
(mg)",191.0,1250.0,15.28
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Potassium
(mg)",340.0,4700.0,7.234042553191489
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Zinc
(mg)",2.79,11.0,25.363636363636367
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Copper
(mg)",0.44,0.9,48.888888888888886
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Vitamin C
(mg)",0.0,90.0,0.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Vitamin B6
(mg)",0.16,1.7,9.411764705882353
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Thiamine (vitamin B1)
(mg)",0.26,1.2,21.666666666666668
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Riboflavin (vitamin B2)
(mg)",0.1,1.3,7.6923076923076925
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Niacin, preformed
(mg)",1.6,16.0,10.0
01_001,"Fonio, white, whole grains, raw",6.0,0.4292255865033207,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",120.0,400.0,30.0
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Protein, total
(g)",63.1,50.0,126.2
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Calcium
(mg)",2522.0,1300.0,194.0
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Iron
(mg)",25.3,18.0,140.55555555555557
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Magnesium
(mg)",670.0,420.0,159.52380952380955
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Phosphorus
(mg)",1332.0,1250.0,106.56000000000002
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Potassium
(mg)",1107.0,4700.0,23.5531914893617
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Zinc
(mg)",6.83,11.0,62.09090909090909
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Copper
(mg)",2.0,0.9,222.22222222222223
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",9.0,900.0,1.0
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Vitamin C
(mg)",37.0,90.0,41.11111111111111
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Vitamin D 
(mcg)",0.0,20.0,0.0
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Vitamin B12
(mcg)",5.9,2.4,245.83333333333334
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Vitamin B6
(mg)",0.7,1.7,41.17647058823529
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Thiamine (vitamin B1)
(mg)",0.03,1.2,2.5
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Riboflavin (vitamin B2)
(mg)",0.22,1.3,16.92307692307692
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Niacin, preformed
(mg)",2.3,16.0,14.374999999999998
09_057,"Shrimp (crayfish), whole, dried",7.0,0.3843731975342682,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",140.0,400.0,35.0
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Protein, total
(g)",1.1,50.0,2.2
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Fibre, total dietary or [fibre, crude]
(g)",2.8,28.0,10.0
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Calcium
(mg)",43.0,1300.0,3.307692307692308
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Iron
(mg)",20.8,18.0,115.55555555555557
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Magnesium
(mg)",10.0,420.0,2.380952380952381
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Phosphorus
(mg)",35.0,1250.0,2.8000000000000003
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Potassium
(mg)",131.0,4700.0,2.7872340425531914
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Zinc
(mg)",0.18,11.0,1.6363636363636362
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Copper
(mg)",0.1,0.9,11.111111111111112
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",4.0,900.0,0.4444444444444444
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Vitamin C
(mg)",11.0,90.0,12.222222222222221
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Vitamin B6
(mg)",0.06,1.7,3.5294117647058822
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Thiamine (vitamin B1)
(mg)",0.03,1.2,2.5
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Riboflavin (vitamin B2)
(mg)",0.03,1.3,2.3076923076923075
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Niacin, preformed
(mg)",0.4,16.0,2.5
04_069,"Turnip, boiled* (without salt), drained",8.0,0.3081468167358141,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",13.0,400.0,3.25
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Protein, total
(g)",29.2,50.0,58.4
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Calcium
(mg)",40.0,1300.0,3.076923076923077
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Iron
(mg)",14.1,18.0,78.33333333333333
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Magnesium
(mg)",20.0,420.0,4.761904761904762
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Phosphorus
(mg)",385.0,1250.0,30.8
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Potassium
(mg)",145.0,4700.0,3.0851063829787235
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Zinc
(mg)",4.59,11.0,41.72727272727273
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Copper
(mg)",4.05,0.9,450.0
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",23600.0,900.0,2622.222222222222
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Vitamin C
(mg)",23.0,90.0,25.555555555555554
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Vitamin D 
(mcg)",1.5,20.0,7.5
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Vitamin B12
(mcg)",110.0,2.4,4583.333333333334
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Vitamin B6
(mg)",1.1,1.7,64.70588235294117
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Thiamine (vitamin B1)
(mg)",0.24,1.2,20.0
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Riboflavin (vitamin B2)
(mg)",2.0,1.3,153.84615384615384
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Niacin, preformed
(mg)",11.0,16.0,68.75
07_018,"Beef liver, boiled* (without salt), drained",9.0,0.281408355150101,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",260.0,400.0,65.0
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Protein, total
(g)",38.3,50.0,76.6
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Fibre, total dietary or [fibre, crude]
(g)",17.7,28.0,63.21428571428571
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Calcium
(mg)",1222.0,1300.0,94.0
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Iron
(mg)",17.3,18.0,96.11111111111111
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Magnesium
(mg)",1118.0,420.0,266.1904761904762
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Phosphorus
(mg)",1023.0,1250.0,81.84
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Potassium
(mg)",3940.0,4700.0,83.82978723404256
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Zinc
(mg)",7.08,11.0,64.36363636363637
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Copper
(mg)",1.02,0.9,113.33333333333333
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",177.0,900.0,19.666666666666664
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Vitamin C
(mg)",9.0,90.0,10.0
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Vitamin B6
(mg)",1.2,1.7,70.58823529411765
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Thiamine (vitamin B1)
(mg)",0.54,1.2,45.00000000000001
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Riboflavin (vitamin B2)
(mg)",0.6,1.3,46.15384615384615
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Niacin, preformed
(mg)",6.6,16.0,41.25
04_055,"Pumpkin, leaves, dried",10.0,0.2704457953255574,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",220.0,400.0,55.00000000000001
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Protein, total
(g)",25.7,50.0,51.4
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Calcium
(mg)",44.0,1300.0,3.3846153846153846
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Iron
(mg)",13.1,18.0,72.77777777777777
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Magnesium
(mg)",22.0,420.0,5.238095238095238
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Phosphorus
(mg)",484.0,1250.0,38.72
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Potassium
(mg)",212.0,4700.0,4.51063829787234
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Zinc
(mg)",4.75,11.0,43.18181818181818
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Copper
(mg)",4.45,0.9,494.44444444444446
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",23400.0,900.0,2600.0
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Vitamin C
(mg)",24.0,90.0,26.666666666666668
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Vitamin D 
(mcg)",1.4,20.0,6.999999999999999
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Vitamin B12
(mcg)",130.0,2.4,5416.666666666667
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Vitamin B6
(mg)",1.1,1.7,64.70588235294117
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Thiamine (vitamin B1)
(mg)",0.28,1.2,23.333333333333336
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Riboflavin (vitamin B2)
(mg)",2.0,1.3,153.84615384615384
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Niacin, preformed
(mg)",17.0,16.0,106.25
07_089,"Beef liver, stewed* (as part of a recipe)",11.0,0.2698433473166242,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",250.0,400.0,62.5
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Protein, total
(g)",29.5,50.0,59.0
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Calcium
(mg)",9.0,1300.0,0.6923076923076923
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Iron
(mg)",14.6,18.0,81.11111111111111
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Magnesium
(mg)",29.0,420.0,6.904761904761905
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Phosphorus
(mg)",322.0,1250.0,25.759999999999998
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Potassium
(mg)",293.0,4700.0,6.23404255319149
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Zinc
(mg)",4.53,11.0,41.18181818181819
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Copper
(mg)",17.0,0.9,1888.888888888889
