Code,Food name in English,rank,topsis_score,nutrient,value_per_100g,rdi,percent_rdi
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Protein, total
(g)",9.9,50.0,19.8
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Fibre, total dietary or [fibre, crude]
(g)",9.5,28.0,33.92857142857143
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Iron
(mg)",15.2,18.0,84.44444444444444
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Phosphorus
(mg)",402.0,1250.0,32.16
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Copper
(mg)",0.45,0.9,50.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Vitamin C
(mg)",0.0,90.0,0.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",23.0,0.2319047466790637,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Protein, total
(g)",9.8,50.0,19.6
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Fibre, total dietary or [fibre, crude]
(g)",9.0,28.0,32.142857142857146
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Iron
(mg)",15.2,18.0,84.44444444444444
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Phosphorus
(mg)",402.0,1250.0,32.16
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Copper
(mg)",0.45,0.9,50.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Vitamin C
(mg)",0.0,90.0,0.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",24.0,0.231889396094073,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Protein, total
(g)",9.5,50.0,19.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Fibre, total dietary or [fibre, crude]
(g)",8.8,28.0,31.428571428571434
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Iron
(mg)",15.2,18.0,84.44444444444444
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Phosphorus
(mg)",402.0,1250.0,32.16
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Copper
(mg)",0.45,0.9,50.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Vitamin C
(mg)",0.0,90.0,0.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",25.0,0.2318524719783211,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
